Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2020-02-23 07:00:00.000,0.02729100,0.02764300,0.02728200,0.02761900,57510.83600000,2020-02-23 18:59:59.999,1577.86513748,52320,29864.91000000,819.41764438
2020-02-23 19:00:00.000,0.02762800,0.02778600,0.02728000,0.02772000,82748.60500000,2020-02-24 06:59:59.999,2276.28944587,61467,44190.00900000,1215.66169475
2020-02-24 07:00:00.000,0.02772600,0.02779900,0.02707900,0.02750900,108512.43600000,2020-02-24 18:59:59.999,2983.14051014,78859,57068.24200000,1568.52090752
2020-02-24 19:00:00.000,0.02750900,0.02753900,0.02683300,0.02727000,79399.70800000,2020-02-25 06:59:59.999,2157.10059461,64990,38958.83600000,1058.85422008
2020-02-25 07:00:00.000,0.02726400,0.02739900,0.02642300,0.02648800,109987.65100000,2020-02-25 18:59:59.999,2950.57736478,85943,52029.27000000,1396.27818577
2020-02-25 19:00:00.000,0.02647500,0.02670000,0.02569900,0.02573400,132357.49200000,2020-02-26 06:59:59.999,3449.37690987,84897,66621.94000000,1735.96715747
2020-02-26 07:00:00.000,0.02573400,0.02629900,0.02480000,0.02548900,211650.81700000,2020-02-26 18:59:59.999,5408.18322683,124880,104778.40200000,2678.12984708
2020-02-26 19:00:00.000,0.02548700,0.02614100,0.02456600,0.02574900,173598.50300000,2020-02-27 06:59:59.999,4392.20224937,103319,86522.43600000,2192.13056116
2020-02-27 07:00:00.000,0.02574900,0.02663100,0.02559000,0.02580500,144045.93500000,2020-02-27 18:59:59.999,3763.15519641,90197,73938.62600000,1931.84970529
2020-02-27 19:00:00.000,0.02581300,0.02637000,0.02536000,0.02568400,110651.52800000,2020-02-28 06:59:59.999,2855.31269756,75422,56438.31800000,1457.68743285
2020-02-28 07:00:00.000,0.02568900,0.02627300,0.02527000,0.02608800,96166.17300000,2020-02-28 18:59:59.999,2488.04391438,72883,48226.33900000,1248.08773049
2020-02-28 19:00:00.000,0.02608700,0.02659300,0.02576700,0.02601900,74013.63400000,2020-02-29 06:59:59.999,1937.92712829,60645,40057.24500000,1049.08472738
2020-02-29 07:00:00.000,0.02601500,0.02606500,0.02545700,0.02550500,55384.46400000,2020-02-29 18:59:59.999,1432.66123630,47751,29283.32500000,757.72509982
2020-02-29 19:00:00.000,0.02549800,0.02605400,0.02538800,0.02594700,75728.27800000,2020-03-01 06:59:59.999,1952.70397627,56815,37865.55100000,976.48159164
2020-03-01 07:00:00.000,0.02594000,0.02605000,0.02513900,0.02551000,85561.03100000,2020-03-01 18:59:59.999,2185.53354637,64267,41728.71400000,1065.52447894
2020-03-01 19:00:00.000,0.02552000,0.02579200,0.02540100,0.02566400,74162.02900000,2020-03-02 06:59:59.999,1897.20371329,51418,40181.66200000,1028.02148752
2020-03-02 07:00:00.000,0.02565900,0.02629900,0.02551800,0.02602900,95975.39800000,2020-03-02 18:59:59.999,2491.78818160,64629,48226.87600000,1252.21213442
2020-03-02 19:00:00.000,0.02603000,0.02614000,0.02577600,0.02608700,73906.72700000,2020-03-03 06:59:59.999,1917.76755920,49476,41156.29200000,1068.15267110
2020-03-03 07:00:00.000,0.02609500,0.02613800,0.02540900,0.02555500,80234.52500000,2020-03-03 18:59:59.999,2063.06701874,58353,38627.17400000,992.92264063
2020-03-03 19:00:00.000,0.02555600,0.02595200,0.02545000,0.02560800,68953.18100000,2020-03-04 06:59:59.999,1770.95982186,45560,35746.83300000,918.22247771
2020-03-04 07:00:00.000,0.02560800,0.02570000,0.02539100,0.02562700,59842.45900000,2020-03-04 18:59:59.999,1528.26598152,47971,30636.47600000,782.40589964
2020-03-04 19:00:00.000,0.02562700,0.02576500,0.02541100,0.02552000,82370.30800000,2020-03-05 06:59:59.999,2104.97769035,53881,38980.32200000,996.23496951
2020-03-05 07:00:00.000,0.02552100,0.02565800,0.02500800,0.02522100,77230.87200000,2020-03-05 18:59:59.999,1962.75588794,58493,36923.24000000,938.06363415
2020-03-05 19:00:00.000,0.02522100,0.02633100,0.02518800,0.02629800,98210.95200000,2020-03-06 06:59:59.999,2531.00716434,66297,50719.87000000,1306.83463094
2020-03-06 07:00:00.000,0.02629700,0.02684600,0.02601100,0.02682700,110668.46000000,2020-03-06 18:59:59.999,2907.89393617,63487,56258.79500000,1479.01685840
2020-03-06 19:00:00.000,0.02682000,0.02695000,0.02661200,0.02681100,90585.64900000,2020-03-07 06:59:59.999,2427.39981154,51204,44707.76000000,1197.93626915
2020-03-07 07:00:00.000,0.02681200,0.02749500,0.02664800,0.02669200,123732.51400000,2020-03-07 18:59:59.999,3339.30005109,79910,61803.62500000,1667.99584320
2020-03-07 19:00:00.000,0.02669200,0.02669500,0.02610600,0.02648700,87370.45800000,2020-03-08 07:59:59.999,2308.27334428,56101,45336.13000000,1197.87625339
2020-03-08 08:00:00.000,0.02648600,0.02651100,0.02445800,0.02481500,242041.00100000,2020-03-08 19:59:59.999,6181.31508840,136666,110333.85900000,2820.04895795
2020-03-08 20:00:00.000,0.02481800,0.02617200,0.02468100,0.02576800,177864.76000000,2020-03-09 07:59:59.999,4531.20579484,110598,90589.67100000,2308.40933596
2020-03-09 08:00:00.000,0.02576700,0.02607100,0.02485300,0.02557500,166800.32200000,2020-03-09 19:59:59.999,4228.91717090,99417,88311.91000000,2238.05560858
2020-03-09 20:00:00.000,0.02557200,0.02571700,0.02505700,0.02518200,103121.93600000,2020-03-10 07:59:59.999,2617.31919862,64180,52801.99600000,1340.16158110
2020-03-10 08:00:00.000,0.02518000,0.02562000,0.02509700,0.02542400,114561.39100000,2020-03-10 19:59:59.999,2901.68143830,70103,59807.83900000,1514.75629042
2020-03-10 20:00:00.000,0.02542400,0.02558100,0.02505400,0.02512500,71581.90400000,2020-03-11 07:59:59.999,1812.92601446,47849,37590.95900000,952.41101993
2020-03-11 08:00:00.000,0.02512400,0.02516300,0.02390000,0.02453200,142440.77400000,2020-03-11 19:59:59.999,3486.23831560,90460,74816.95900000,1831.71009549
2020-03-11 20:00:00.000,0.02452600,0.02457400,0.02099500,0.02251200,414322.11200000,2020-03-12 07:59:59.999,9449.60660479,236978,208337.86400000,4766.71384900
